Variable,PSI,Estado
AMT_INCOME_TOTAL,0.4527,❌ Drift severo
EXT_SOURCE_2,0.0973,✅ Estable
EXT_SOURCE_3,0.0402,✅ Estable
DAYS_EMPLOYED,0.0173,✅ Estable
DAYS_BIRTH,0.0072,✅ Estable
OWN_CAR_AGE,0.0038,✅ Estable
AMT_GOODS_PRICE,0.0027,✅ Estable
DAYS_ID_PUBLISH,0.0019,✅ Estable
DAYS_REGISTRATION,0.0018,✅ Estable
AMT_CREDIT,0.0016,✅ Estable
EXT_SOURCE_1,0.0015,✅ Estable
HOUR_APPR_PROCESS_START,0.0015,✅ Estable
REGION_POPULATION_RELATIVE,0.0012,✅ Estable
DAYS_LAST_PHONE_CHANGE,0.0009,✅ Estable
AMT_ANNUITY,0.0007,✅ Estable
CNT_FAM_MEMBERS,0.0005,✅ Estable
CNT_CHILDREN,0.0004,✅ Estable
FLAG_OWN_CAR,0.0,✅ Estable
FLAG_OWN_REALTY,0.0,✅ Estable
FLAG_WORK_PHONE,0.0,✅ Estable
FLAG_PHONE,0.0,✅ Estable
FLAG_EMAIL,0.0,✅ Estable
REG_CITY_NOT_LIVE_CITY,0.0,✅ Estable
REG_CITY_NOT_WORK_CITY,0.0,✅ Estable
LIVE_CITY_NOT_WORK_CITY,0.0,✅ Estable
