name,dtype,status,selected,n_bins,iv,js,gini,quality_score
EXT_SOURCE_PROMEDIO,numerical,OPTIMAL,True,6,0.6111678574582093,0.07235120481025362,0.42054944522777604,0.7052572899675511
RIESGO_EDAD_SCORE,numerical,OPTIMAL,True,6,0.34297917828529556,0.041496764160121664,0.31941849124108546,0.9041016169768525
EXT_SOURCE_3,numerical,OPTIMAL,True,6,0.32925921155211113,0.039845068751092755,0.3120938002561281,0.9167059641370137
EXT_SOURCE_2,numerical,OPTIMAL,True,6,0.31426179203957283,0.03794708824617153,0.3034237138214768,0.8813247293697464
DAYS_EMPLOYED,numerical,OPTIMAL,True,6,0.11425167186666113,0.014160902966609283,0.18463083985172912,0.4097236918815796
AMT_GOODS_PRICE,numerical,OPTIMAL,True,6,0.08854970021803787,0.010939278984114651,0.15349248300035856,0.32213865959667926
DAYS_BIRTH,numerical,OPTIMAL,True,6,0.08791185319084698,0.010903131012958506,0.16489971054052277,0.3312746146952548
AMT_CREDIT,numerical,OPTIMAL,True,6,0.05584158569794075,0.006931255765665615,0.12530643343932069,0.2020433194455197
PLAZO_MESES,numerical,OPTIMAL,True,2,0.027147925089064474,0.0033560198857266483,0.04585449494863658,0.028494382822869497
AMT_INCOME_TOTAL,numerical,OPTIMAL,True,6,0.012633499450625588,0.0015742651156833783,0.050842982632070766,0.04294924572587331
