Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
EXT_SOURCE_PROMEDIO,0,"(-inf, 0.24)",11641,0.05407954212871126,8549,3092,0.2656129198522464,-1.4155171073004698,0.1907174345589882,0.022029599451991375,-0.5165106203623491,0.0
EXT_SOURCE_PROMEDIO,1,"[0.24, 0.37)",27602,0.12822811801706796,23097,4505,0.16321281066589377,-0.7979984457156697,0.11373750376724248,0.013851573676191178,-0.5165106203623491,9.20309440551518
EXT_SOURCE_PROMEDIO,2,"[0.37, 0.47)",41880,0.1945581328365628,37774,4106,0.09804202483285578,-0.21334157694247846,0.009684828028181526,0.001208312875172238,-0.5165106203623491,17.9164381356361
EXT_SOURCE_PROMEDIO,3,"[0.47, 0.56)",46043,0.21389780587855448,43208,2835,0.061572877527528616,0.29147043249148386,0.016091461794558296,0.0020043427776824836,-0.5165106203623491,25.439826283834748
EXT_SOURCE_PROMEDIO,4,"[0.56, 0.68)",62530,0.2904899724515347,60219,2311,0.03695826003518311,0.8277942922252648,0.1418250976479116,0.017238697204399148,-0.5165106203623491,33.43284644680914
EXT_SOURCE_PROMEDIO,5,"[0.68, inf)",25439,0.11817966430824549,24923,516,0.02028381618774323,1.4449262917874601,0.13908231520827904,0.016015033912874004,-0.5165106203623491,42.630178294334684
EXT_SOURCE_PROMEDIO,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.5165106203623491,21.09594151806705
EXT_SOURCE_PROMEDIO,7,Missing,122,0.0005667643793233205,110,12,0.09836065573770492,-0.21693957761497495,2.9216453048140577e-05,3.644911943187619e-06,-0.5165106203623491,21.09594151806705
RIESGO_EDAD_SCORE,0,"(-inf, 0.13)",54130,0.25146685125222407,52042,2088,0.038573803805653055,0.7833311212414356,0.11189019156416051,0.013639309839242744,-0.07373150276999771,4.22821263443349
RIESGO_EDAD_SCORE,1,"[0.13, 0.23)",49065,0.2279368382909731,46363,2702,0.055069805360236423,0.40999619417821176,0.03231002555141041,0.004010701251124477,-0.07373150276999771,3.433964429119797
RIESGO_EDAD_SCORE,2,"[0.23, 0.33)",42931,0.1994406685961432,39756,3175,0.07395588269548811,0.09493984714171333,0.0017276071965592777,0.00021586983237326107,-0.07373150276999771,2.7637004916552854
RIESGO_EDAD_SCORE,3,"[0.33, 0.43)",30579,0.14205809799449032,27610,2969,0.09709277608816508,-0.2025604634589504,0.006346021469437826,0.000791899303712742,-0.07373150276999771,2.1307859941193357
RIESGO_EDAD_SCORE,4,"[0.43, 0.58)",27457,0.1275545046154132,23511,3946,0.14371562807298685,-0.6477473044809772,0.07012987879487004,0.008616124964730281,-0.07373150276999771,1.1836770474893825
RIESGO_EDAD_SCORE,5,"[0.58, inf)",10973,0.050976274871432754,8488,2485,0.2264649594459127,-1.2041325518563006,0.1205462372558094,0.014219214056994972,-0.07373150276999771,0.0
RIESGO_EDAD_SCORE,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.07373150276999771,2.5617215238736435
RIESGO_EDAD_SCORE,7,Missing,122,0.0005667643793233205,110,12,0.09836065573770492,-0.21693957761497495,2.9216453048140577e-05,3.644911943187619e-06,-0.07373150276999771,2.5617215238736435
EXT_SOURCE_3,0,"(-inf, 0.18)",10885,0.05056746122077331,8509,2376,0.21828203950390446,-1.1568072682523691,0.1084294584731376,0.01284515301600302,-0.4847412869517237,0.0
EXT_SOURCE_3,1,"[0.18, 0.31)",20486,0.095169959629652,17582,2904,0.14175534511373622,-0.6317267391529535,0.04944248788862938,0.006079550840689268,-0.4847412869517237,7.344131767897466
EXT_SOURCE_3,2,"[0.31, 0.41)",21906,0.10176672535620213,19736,2170,0.09905961836939652,-0.22479608194470346,0.005651485323694621,0.00070495197564869,-0.4847412869517237,13.035739438172868
EXT_SOURCE_3,3,"[0.41, 0.50)",23533,0.10932513228373526,21786,1747,0.07423617898270514,0.09085423688894334,0.0008687335227458861,0.00010855435703122085,-0.4847412869517237,17.450638497692637
EXT_SOURCE_3,4,"[0.50, 0.64)",42552,0.19767998253250765,40275,2277,0.053510998307952626,0.44035884836204486,0.03192476914157497,0.003958662218677859,-0.4847412869517237,22.33904661396518
EXT_SOURCE_3,5,"[0.64, inf)",53215,0.24721611840729918,51300,1915,0.035986094146387294,0.8554598359247239,0.12750191459912943,0.015468877013000731,-0.4847412869517237,28.144930056021906
EXT_SOURCE_3,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.4847412869517237,16.179889630792943
EXT_SOURCE_3,7,Missing,42680,0.19827462056983047,38692,3988,0.09343955014058107,-0.16017028539868194,0.005440362603199231,0.0006793193300419637,-0.4847412869517237,16.179889630792943
EXT_SOURCE_2,0,"(-inf, 0.15)",12404,0.057624142304315305,9749,2655,0.21404385682038052,-1.1317932326661584,0.11716429435376938,0.0139107259137915,-0.3732962455950654,0.0
EXT_SOURCE_2,1,"[0.15, 0.34)",30091,0.13979104047719704,26262,3829,0.12724734970589213,-0.5069939386777349,0.044428861794323496,0.005494881997642996,-0.3732962455950654,6.729746213723651
EXT_SOURCE_2,2,"[0.34, 0.49)",35506,0.1649470168217526,32135,3371,0.09494169999436715,-0.1777769510480649,0.005616979498198903,0.0007011992988045215,-0.3732962455950654,10.275759785300018
EXT_SOURCE_2,3,"[0.49, 0.62)",55113,0.25603348555447675,51181,3932,0.07134432892421026,0.13370687351882626,0.004328164023212677,0.0005406178582430567,-0.3732962455950654,13.630768520399577
EXT_SOURCE_2,4,"[0.62, 0.70)",51659,0.23998754976609354,49037,2622,0.05075591862018235,0.49612443624443126,0.048085719323517094,0.005949818959968864,-0.3732962455950654,17.534387240853498
EXT_SOURCE_2,5,"[0.70, inf)",30020,0.13946120219086952,29091,929,0.03094603597601599,1.0115620945394266,0.09463352491613233,0.011349313244221695,-0.3732962455950654,23.08619349719283
EXT_SOURCE_2,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.3732962455950654,12.19060471984826
EXT_SOURCE_2,7,Missing,464,0.002155562885295252,425,39,0.08405172413793104,-0.043985770824620296,4.2481304189611326e-06,5.309734988964479e-07,-0.3732962455950654,12.19060471984826
DAYS_EMPLOYED,0,"(-inf, -5443.50)",16747,0.0778000250862922,16021,726,0.04335104794888637,0.6615923322025274,0.02592373239045399,0.0031826317594231546,-0.5748839995974587,16.713111411398046
DAYS_EMPLOYED,1,"[-5443.50, -3887.50)",15564,0.07230426885072262,14681,883,0.05673348753533796,0.3784709255161096,0.008847565689081077,0.0010993919616474638,-0.5748839995974587,12.016793768843044
DAYS_EMPLOYED,2,"[-3887.50, -2447.50)",29751,0.13821153319055826,27703,2048,0.0688380222513529,0.17216370978136464,0.003812057806827421,0.0004759196033947005,-0.5748839995974587,8.594642726358956
DAYS_EMPLOYED,3,"[-2447.50, -1297.50)",41510,0.1928392572599265,37937,3573,0.08607564442303059,-0.06999198349946134,0.0009728477880511266,0.00012158115738489803,-0.5748839995974587,4.57784983206723
DAYS_EMPLOYED,4,"[-1297.50, -1.50)",72927,0.3387903761550147,64875,8052,0.11041178164465835,-0.3459714599108832,0.046886367253656955,0.0058317399235869,-0.5748839995974587,0.0
DAYS_EMPLOYED,5,"[-1.50, inf)",38758,0.1800545394574857,36663,2095,0.054053356726353266,0.4297012251304815,0.02780910093859056,0.0034496385611721657,-0.5748839995974587,12.866583838510323
DAYS_EMPLOYED,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.5748839995974587,5.738852070622812
DAYS_EMPLOYED,7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.5748839995974587,5.738852070622812
AMT_GOODS_PRICE,0,"(-inf, 282703.50)",70283,0.32650738419656505,64698,5585,0.07946445086293982,0.017132562987435485,9.515215989315673e-05,1.1893874522560504e-05,-0.5229551696038737,9.224239678055959
AMT_GOODS_PRICE,1,"[282703.50, 407362.50)",19727,0.09164394189271428,17671,2056,0.1042226390226593,-0.28135076338639076,0.008163594709135195,0.001017096895841489,-0.5229551696038737,4.720336237471933
AMT_GOODS_PRICE,2,"[407362.50, 450117.00)",20605,0.09572278717997557,17777,2828,0.13724824071827227,-0.5941775547131687,0.04331945444056943,0.005336656632531519,-0.5229551696038737,0.0
AMT_GOODS_PRICE,3,"[450117.00, 677889.00)",48278,0.22428074348337104,44561,3717,0.07699159037242637,0.051428852084418164,0.0005805597397099245,7.256197092733686e-05,-0.5229551696038737,9.741746556378892
AMT_GOODS_PRICE,4,"[677889.00, 1125056.25)",41645,0.19346641456491542,39118,2527,0.06067955336775123,0.30703659708987807,0.016046763056643355,0.0019980034168799905,-0.5229551696038737,13.598687632974212
AMT_GOODS_PRICE,5,"[1125056.25, inf)",14719,0.06837872868245864,14055,664,0.045111760309803656,0.6199380402448078,0.020344176112086807,0.002503066193411756,-0.5229551696038737,18.320150314022563
AMT_GOODS_PRICE,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.5229551696038737,8.96572135369069
AMT_GOODS_PRICE,7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.5229551696038737,8.96572135369069
DAYS_BIRTH,0,"(-inf, -23181.50)",10914,0.05070218390110426,10438,476,0.04361370716510903,0.6552771243525477,0.016615606836178534,0.002040571652892507,0.09640835990837299,0.0
DAYS_BIRTH,1,"[-23181.50, -19503.50)",45476,0.211263745197601,42949,2527,0.05556777201161052,0.40046724324668803,0.02868289545866712,0.003561594124781759,0.09640835990837299,0.7088192353612044
DAYS_BIRTH,2,"[-19503.50, -17201.50)",29948,0.13912671829487544,27845,2103,0.07022171764391612,0.15077522670167864,0.0029694510383822263,0.0003708301902383519,0.09640835990837299,1.4034018138511613
DAYS_BIRTH,3,"[-17201.50, -13949.50)",50885,0.23639184788415707,46859,4026,0.07911958337427533,0.0218564718527694,0.00011189580428024731,1.3986697139476475e-05,0.09640835990837299,1.7620224954320207
DAYS_BIRTH,4,"[-13949.50, -11682.50)",35135,0.16322349563544972,31754,3381,0.0962288316493525,-0.19266611568981995,0.006569247780421962,0.0008198882626127696,0.09640835990837299,2.3587722596472958
DAYS_BIRTH,5,"[-11682.50, inf)",42899,0.19929200908681252,38035,4864,0.11338259633091681,-0.3758676498339919,0.032962756272916886,0.004096260085293641,0.09640835990837299,2.868394456343509
DAYS_BIRTH,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.09640835990837299,1.8228218945728116
DAYS_BIRTH,7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.09640835990837299,1.8228218945728116
AMT_CREDIT,0,"(-inf, 158683.50)",15193,0.07058074766441974,14270,923,0.06075166194958204,0.30577218234863945,0.005809128630551664,0.000723325414629921,-0.17910305068284166,2.818564241876416
AMT_CREDIT,1,"[158683.50, 274104.00)",40441,0.18787310052634756,37317,3124,0.07724833708365272,0.04782146129910725,0.0004211216703017966,5.263519342449917e-05,-0.17910305068284166,1.4855209182784392
AMT_CREDIT,2,"[274104.00, 672320.25)",80654,0.37468700204871386,72557,8097,0.10039179705904233,-0.23963445646493442,0.023793073332382526,0.002967038341112938,-0.17910305068284166,0.0
AMT_CREDIT,3,"[672320.25, 898380.00)",33237,0.15440612848827215,30740,2497,0.07512711736919699,0.07796143319342264,0.0009083274924254919,0.00011351219111717555,-0.17910305068284166,1.641278917882687
AMT_CREDIT,4,"[898380.00, 1345173.75)",34071,0.1582805669502037,31848,2223,0.06524610372457515,0.22960365709656605,0.007581124117674825,0.0009455644210245801,-0.17910305068284166,2.424938887225508
AMT_CREDIT,5,"[1345173.75, inf)",11661,0.05417245432204296,11148,513,0.043992796501157706,0.6462262498116784,0.017328810454604448,0.002129180204356501,-0.17910305068284166,4.577970146139165
AMT_CREDIT,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.17910305068284166,1.2383881347370647
AMT_CREDIT,7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.17910305068284166,1.2383881347370647
